student_id,subject_id,semester_id,attendance_percent,total_classes,classes_attended
25CV001,NAN,SEM-4,0.0,2,0
25CV002,CV301,SEM-3,76.92,39,30
25CV002,CV302,SEM-3,88.89,45,40
25CV002,CV303,SEM-3,78.79,33,26
25CV002,CV304,SEM-3,94.44,36,34
25CV002,NAN,SEM-4,0.0,2,0
25CV003,CV301,SEM-3,94.87,39,37
25CV003,CV302,SEM-3,91.84,49,45
25CV003,CV303,SEM-3,97.14,35,34
25CV003,CV304,SEM-3,85.37,41,35
25CV003,NAN,SEM-4,0.0,2,0
25CV004,CV301,SEM-3,55.81,43,24
25CV004,CV302,SEM-3,51.43,35,18
25CV004,CV303,SEM-3,60.0,40,24
25CV004,CV304,SEM-3,43.9,41,18
25CV004,NAN,SEM-4,0.0,2,0
25EC001,EC301,SEM-3,44.44,36,16
25EC001,EC302,SEM-3,48.89,45,22
25EC001,EC303,SEM-3,46.81,47,22
25EC001,EC304,SEM-3,45.71,35,16
25EC001,NAN,SEM-4,0.0,2,0
25EC002,EC301,SEM-3,68.29,41,28
25EC002,EC302,SEM-3,60.0,35,21
25EC002,EC303,SEM-3,63.04,46,29
25EC002,EC304,SEM-3,66.67,42,28
25EC002,NAN,SEM-4,0.0,2,0
25EC003,EC301,SEM-3,76.47,34,26
25EC003,EC302,SEM-3,83.33,36,30
25EC003,EC303,SEM-3,80.0,35,28
25EC003,EC304,SEM-3,88.24,34,30
25EC003,NAN,SEM-4,0.0,2,0
25EC004,EC301,SEM-3,85.71,35,30
25EC004,EC302,SEM-3,84.44,45,38
25EC004,EC303,SEM-3,80.0,40,32
25EC004,EC304,SEM-3,78.72,47,37
25EC004,NAN,SEM-4,0.0,2,0
25EE001,EE301,SEM-3,97.62,42,41
25EE001,EE302,SEM-3,90.7,43,39
25EE001,EE303,SEM-3,97.5,40,39
25EE001,EE304,SEM-3,97.92,48,47
25EE001,NAN,SEM-4,0.0,2,0
25EE002,EE301,SEM-3,84.44,45,38
25EE002,EE302,SEM-3,80.65,31,25
25EE002,EE303,SEM-3,70.97,31,22
25EE002,EE304,SEM-3,86.05,43,37
25EE002,NAN,SEM-4,0.0,2,0
25EE003,EE301,SEM-3,97.73,44,43
25EE003,EE302,SEM-3,94.12,34,32
25EE003,EE303,SEM-3,97.78,45,44
25EE003,EE304,SEM-3,91.89,37,34
25EE003,NAN,SEM-4,0.0,2,0
25EE004,EE301,SEM-3,92.86,42,39
25EE004,EE302,SEM-3,87.23,47,41
25EE004,EE303,SEM-3,82.76,29,24
25EE004,EE304,SEM-3,84.85,33,28
25EE004,NAN,SEM-4,0.0,2,0
25IT001,IT301,SEM-3,70.73,41,29
25IT001,IT302,SEM-3,73.33,45,33
25IT001,IT303,SEM-3,69.23,39,27
25IT001,IT304,SEM-3,67.5,40,27
25IT001,NAN,SEM-4,0.0,2,0
25IT002,IT301,SEM-3,91.43,35,32
25IT002,IT302,SEM-3,90.91,44,40
25IT002,IT303,SEM-3,92.31,39,36
25IT002,IT304,SEM-3,89.47,38,34
25IT002,NAN,SEM-4,0.0,2,0
25IT003,IT301,SEM-3,65.62,32,21
25IT003,IT302,SEM-3,66.67,39,26
25IT003,IT303,SEM-3,58.97,39,23
25IT003,IT304,SEM-3,72.09,43,31
25IT003,NAN,SEM-4,0.0,2,0
25IT004,IT301,SEM-3,85.0,40,34
25IT004,IT302,SEM-3,83.33,42,35
25IT004,IT303,SEM-3,82.5,40,33
25IT004,IT304,SEM-3,84.44,45,38
25IT004,NAN,SEM-4,0.0,2,0
25ME001,ME301,SEM-3,61.36,44,27
25ME001,ME302,SEM-3,73.68,38,28
25ME001,ME303,SEM-3,64.71,51,33
25ME001,ME304,SEM-3,51.28,39,20
25ME001,NAN,SEM-4,0.0,2,0
25ME002,ME301,SEM-3,49.02,51,25
25ME002,ME302,SEM-3,59.52,42,25
25ME002,ME303,SEM-3,55.26,38,21
25ME002,ME304,SEM-3,62.16,37,23
25ME002,NAN,SEM-4,0.0,2,0
25ME003,ME301,SEM-3,60.61,33,20
25ME003,ME302,SEM-3,69.44,36,25
25ME003,ME303,SEM-3,60.0,45,27
25ME003,ME304,SEM-3,63.83,47,30
25ME003,NAN,SEM-4,0.0,2,0
25ME004,ME301,SEM-3,70.27,37,26
25ME004,ME302,SEM-3,68.42,38,26
25ME004,ME303,SEM-3,80.65,31,25
25ME004,ME304,SEM-3,64.52,31,20
25ME004,NAN,SEM-4,0.0,2,0
25CE001,,SEM-2,74.0,45,33
24CE002,,SEM-4,96.0,45,43
23CE003,,SEM-6,94.0,45,42
25CE004,,SEM-2,87.0,45,39
23CE005,,SEM-6,78.0,45,35
25CE006,,SEM-2,81.0,45,36
23CE007,,SEM-6,65.0,45,29
24CE008,,SEM-4,87.0,45,39
24CE009,,SEM-4,100.0,45,45
24CE010,,SEM-4,97.0,45,44
24IT001,,SEM-4,67.0,45,30
25IT002,,SEM-2,90.0,45,40
23IT003,,SEM-6,87.0,45,39
25IT004,,SEM-2,73.0,45,33
24IT005,,SEM-4,85.0,45,38
23IT006,,SEM-6,75.0,45,34
24IT007,,SEM-4,82.0,45,37
25IT008,,SEM-2,63.0,45,28
23IT009,,SEM-6,89.0,45,40
24IT010,,SEM-4,69.0,45,31
25ME001,,SEM-2,68.0,45,31
25ME002,,SEM-2,69.0,45,31
24ME004,,SEM-4,73.0,45,33
24ME005,,SEM-4,78.0,45,35
24ME006,,SEM-4,67.0,45,30
25ME007,,SEM-2,99.0,45,45
24ME008,,SEM-4,77.0,45,35
23ME009,,SEM-6,80.0,45,36
23ME010,,SEM-6,63.0,45,28
25CV001,,SEM-2,90.0,45,40
24CV002,,SEM-4,97.0,45,44
23CV003,,SEM-6,96.0,45,43
23CV004,,SEM-6,67.0,45,30
23CV005,,SEM-6,63.0,45,28
25CV006,,SEM-2,67.0,45,30
24CV007,,SEM-4,66.0,45,30
23CV008,,SEM-6,94.0,45,42
23CV009,,SEM-6,63.0,45,28
23CV010,,SEM-6,70.0,45,31
24EE001,,SEM-4,91.0,45,41
25EE002,,SEM-2,82.0,45,37
23EE003,,SEM-6,78.0,45,35
25EE004,,SEM-2,85.0,45,38
23EE005,,SEM-6,69.0,45,31
25EE006,,SEM-2,80.0,45,36
25EE007,,SEM-2,88.0,45,40
23EE008,,SEM-6,87.0,45,39
25EE009,,SEM-2,71.0,45,32
23EE010,,SEM-6,75.0,45,34
24EC001,,SEM-4,63.0,45,28
23EC002,,SEM-6,74.0,45,33
24EC003,,SEM-4,82.0,45,37
24EC004,,SEM-4,91.0,45,41
24EC005,,SEM-4,81.0,45,36
25EC006,,SEM-2,97.0,45,44
25EC007,,SEM-2,73.0,45,33
23EC008,,SEM-6,77.0,45,35
23EC009,,SEM-6,65.0,45,29
25EC010,,SEM-2,91.0,45,41
25AIML001,,SEM-2,69.0,45,31
25AIML002,,SEM-2,64.0,45,29
25AIML003,,SEM-2,65.0,45,29
24AIML004,,SEM-4,82.0,45,37
25AIML005,,SEM-2,79.0,45,36
24AIML006,,SEM-4,90.0,45,40
24AIML007,,SEM-4,75.0,45,34
25AIML008,,SEM-2,89.0,45,40
23AIML009,,SEM-6,75.0,45,34
23AIML010,,SEM-6,85.0,45,38
23AIML001,,SEM-7,89.0,45,40
23CE001,,SEM-8,92.0,45,41
25EC001,,SEM-4,85.0,45,38
23IT002,,SEM-8,94.0,45,42
25ME003,,SEM-4,78.0,45,35
STU000001,,SEM-1,75.0,45,34
STU000001,,SEM-2,69.0,45,31
STU000001,,SEM-3,71.0,45,32
STU000001,,SEM-4,92.0,45,41
STU000001,,SEM-5,82.0,45,37
STU000001,,SEM-6,91.0,45,41
STU000001,,SEM-7,67.0,45,30
STU000001,,SEM-8,88.0,45,40
STU000002,,SEM-1,80.0,45,36
STU000002,,SEM-2,63.0,45,28
STU000002,,SEM-3,56.0,45,25
STU000002,,SEM-4,64.0,45,29
STU000002,,SEM-5,75.0,45,34
STU000002,,SEM-6,50.0,45,22
STU000002,,SEM-7,71.0,45,32
STU000002,,SEM-8,65.0,45,29
STU000003,,SEM-1,80.0,45,36
STU000003,,SEM-2,83.0,45,37
STU000003,,SEM-3,84.0,45,38
STU000003,,SEM-4,64.0,45,29
STU000003,,SEM-5,91.0,45,41
STU000003,,SEM-6,87.0,45,39
STU000003,,SEM-7,73.0,45,33
STU000003,,SEM-8,81.0,45,36
STU000004,,SEM-1,75.0,45,34
STU000004,,SEM-2,75.0,45,34
STU000004,,SEM-3,74.0,45,33
STU000004,,SEM-4,77.0,45,35
STU000004,,SEM-5,68.0,45,31
STU000004,,SEM-6,66.0,45,30
STU000004,,SEM-7,70.0,45,31
STU000004,,SEM-8,72.0,45,32
STU000005,,SEM-1,74.0,45,33
STU000005,,SEM-2,78.0,45,35
STU000005,,SEM-3,76.0,45,34
STU000005,,SEM-4,62.0,45,28
STU000005,,SEM-5,75.0,45,34
STU000005,,SEM-6,64.0,45,29
STU000005,,SEM-7,78.0,45,35
STU000005,,SEM-8,64.0,45,29
STU000006,,SEM-1,71.0,45,32
STU000006,,SEM-2,69.0,45,31
STU000006,,SEM-3,79.0,45,36
STU000006,,SEM-4,76.0,45,34
STU000006,,SEM-5,52.0,45,23
STU000006,,SEM-6,62.0,45,28
STU000006,,SEM-7,72.0,45,32
STU000006,,SEM-8,86.0,45,39
STU000007,,SEM-1,72.0,45,32
STU000007,,SEM-2,79.0,45,36
STU000007,,SEM-3,82.0,45,37
STU000007,,SEM-4,75.0,45,34
STU000007,,SEM-5,83.0,45,37
STU000007,,SEM-6,75.0,45,34
STU000007,,SEM-7,72.0,45,32
STU000007,,SEM-8,80.0,45,36
STU000008,,SEM-1,92.0,45,41
STU000008,,SEM-2,76.0,45,34
STU000008,,SEM-3,89.0,45,40
STU000008,,SEM-4,93.0,45,42
STU000008,,SEM-5,88.0,45,40
STU000008,,SEM-6,94.0,45,42
STU000008,,SEM-7,79.0,45,36
STU000008,,SEM-8,83.0,45,37
STU000009,,SEM-1,82.0,45,37
STU000009,,SEM-2,89.0,45,40
STU000009,,SEM-3,86.0,45,39
STU000009,,SEM-4,78.0,45,35
STU000009,,SEM-5,83.0,45,37
STU000009,,SEM-6,81.0,45,36
STU000009,,SEM-7,84.0,45,38
STU000009,,SEM-8,84.0,45,38
STU000010,,SEM-1,70.0,45,31
STU000010,,SEM-2,70.0,45,31
STU000010,,SEM-3,65.0,45,29
STU000010,,SEM-4,64.0,45,29
STU000010,,SEM-5,74.0,45,33
STU000010,,SEM-6,69.0,45,31
STU000010,,SEM-7,73.0,45,33
STU000010,,SEM-8,73.0,45,33
STU000011,,SEM-1,72.0,45,32
STU000011,,SEM-2,89.0,45,40
STU000011,,SEM-3,85.0,45,38
STU000011,,SEM-4,100.0,45,45
STU000011,,SEM-5,84.0,45,38
STU000011,,SEM-6,81.0,45,36
STU000011,,SEM-7,83.0,45,37
STU000011,,SEM-8,84.0,45,38
STU000012,,SEM-1,85.0,45,38
STU000012,,SEM-2,68.0,45,31
STU000012,,SEM-3,72.0,45,32
STU000012,,SEM-4,82.0,45,37
STU000012,,SEM-5,73.0,45,33
STU000012,,SEM-6,68.0,45,31
STU000012,,SEM-7,63.0,45,28
STU000012,,SEM-8,72.0,45,32
STU000013,,SEM-1,73.0,45,33
STU000013,,SEM-2,56.0,45,25
STU000013,,SEM-3,61.0,45,27
STU000013,,SEM-4,60.0,45,27
STU000013,,SEM-5,60.0,45,27
STU000013,,SEM-6,54.0,45,24
STU000013,,SEM-7,64.0,45,29
STU000013,,SEM-8,55.0,45,25
STU000014,,SEM-1,98.0,45,44
STU000014,,SEM-2,77.0,45,35
STU000014,,SEM-3,86.0,45,39
STU000014,,SEM-4,96.0,45,43
STU000014,,SEM-5,97.0,45,44
STU000014,,SEM-6,88.0,45,40
STU000014,,SEM-7,89.0,45,40
STU000014,,SEM-8,92.0,45,41
STU000015,,SEM-1,84.0,45,38
STU000015,,SEM-2,91.0,45,41
STU000015,,SEM-3,78.0,45,35
STU000015,,SEM-4,87.0,45,39
STU000015,,SEM-5,73.0,45,33
STU000015,,SEM-6,93.0,45,42
STU000015,,SEM-7,86.0,45,39
STU000015,,SEM-8,92.0,45,41
STU000016,,SEM-1,65.0,45,29
STU000016,,SEM-2,82.0,45,37
STU000016,,SEM-3,82.0,45,37
STU000016,,SEM-4,80.0,45,36
STU000016,,SEM-5,79.0,45,36
STU000016,,SEM-6,78.0,45,35
STU000016,,SEM-7,71.0,45,32
STU000016,,SEM-8,83.0,45,37
STU000017,,SEM-1,75.0,45,34
STU000017,,SEM-2,85.0,45,38
STU000017,,SEM-3,76.0,45,34
STU000017,,SEM-4,77.0,45,35
STU000017,,SEM-5,68.0,45,31
STU000017,,SEM-6,75.0,45,34
STU000017,,SEM-7,77.0,45,35
STU000017,,SEM-8,68.0,45,31
STU000018,,SEM-1,88.0,45,40
STU000018,,SEM-2,88.0,45,40
STU000018,,SEM-3,87.0,45,39
STU000018,,SEM-4,91.0,45,41
STU000018,,SEM-5,88.0,45,40
STU000018,,SEM-6,83.0,45,37
STU000018,,SEM-7,95.0,45,43
STU000018,,SEM-8,80.0,45,36
STU000019,,SEM-1,77.0,45,35
STU000019,,SEM-2,94.0,45,42
STU000019,,SEM-3,64.0,45,29
STU000019,,SEM-4,84.0,45,38
STU000019,,SEM-5,80.0,45,36
STU000019,,SEM-6,56.0,45,25
STU000019,,SEM-7,73.0,45,33
STU000019,,SEM-8,65.0,45,29
STU000020,,SEM-1,57.0,45,26
STU000020,,SEM-2,65.0,45,29
STU000020,,SEM-3,73.0,45,33
STU000020,,SEM-4,76.0,45,34
STU000020,,SEM-5,80.0,45,36
STU000020,,SEM-6,66.0,45,30
STU000020,,SEM-7,82.0,45,37
STU000020,,SEM-8,59.0,45,27
STU000021,,SEM-1,68.0,45,31
STU000021,,SEM-2,74.0,45,33
STU000021,,SEM-3,75.0,45,34
STU000021,,SEM-4,68.0,45,31
STU000021,,SEM-5,92.0,45,41
STU000021,,SEM-6,85.0,45,38
STU000021,,SEM-7,82.0,45,37
STU000021,,SEM-8,80.0,45,36
STU000022,,SEM-1,76.0,45,34
STU000022,,SEM-2,86.0,45,39
STU000022,,SEM-3,83.0,45,37
STU000022,,SEM-4,75.0,45,34
STU000022,,SEM-5,94.0,45,42
STU000022,,SEM-6,91.0,45,41
STU000022,,SEM-7,72.0,45,32
STU000022,,SEM-8,73.0,45,33
STU000023,,SEM-1,62.0,45,28
STU000023,,SEM-2,64.0,45,29
STU000023,,SEM-3,58.0,45,26
STU000023,,SEM-4,76.0,45,34
STU000023,,SEM-5,50.0,45,22
STU000023,,SEM-6,57.0,45,26
STU000023,,SEM-7,68.0,45,31
STU000023,,SEM-8,66.0,45,30
STU000024,,SEM-1,85.0,45,38
STU000024,,SEM-2,91.0,45,41
STU000024,,SEM-3,77.0,45,35
STU000024,,SEM-4,82.0,45,37
STU000024,,SEM-5,70.0,45,31
STU000024,,SEM-6,88.0,45,40
STU000024,,SEM-7,98.0,45,44
STU000024,,SEM-8,93.0,45,42
STU000025,,SEM-1,93.0,45,42
STU000025,,SEM-2,87.0,45,39
STU000025,,SEM-3,93.0,45,42
STU000025,,SEM-4,70.0,45,31
STU000025,,SEM-5,71.0,45,32
STU000025,,SEM-6,74.0,45,33
STU000025,,SEM-7,77.0,45,35
STU000025,,SEM-8,70.0,45,31
STU000026,,SEM-1,97.0,45,44
STU000026,,SEM-2,79.0,45,36
STU000026,,SEM-3,92.0,45,41
STU000026,,SEM-4,97.0,45,44
STU000026,,SEM-5,94.0,45,42
STU000026,,SEM-6,92.0,45,41
STU000026,,SEM-7,88.0,45,40
STU000026,,SEM-8,84.0,45,38
